excel.Excel	public void lerExcel(java.io.File) throws java.io.FileNotFoundException, java.io.IOException	linha	B3	10/23
excel.Excel	public void lerExcel(java.io.File) throws java.io.FileNotFoundException, java.io.IOException	linha	B4	8/20
excel.Excel	public void lerExcel(java.io.File) throws java.io.FileNotFoundException, java.io.IOException	linha	B5	7/19
excel.Excel	public void lerExcel(java.io.File) throws java.io.FileNotFoundException, java.io.IOException	list	B2	11/25
excel.Excel	public void lerExcel(java.io.File) throws java.io.FileNotFoundException, java.io.IOException	list	B3	10/24
excel.Excel	public void lerExcel(java.io.File) throws java.io.FileNotFoundException, java.io.IOException	list	B4	8/21
excel.Comparador	public void classComp(ArrayList<central.BoolResultado>, ArrayList<excel.Linha>) 	classCheck	B1	7/16
excel.Comparador	public void classComp(ArrayList<central.BoolResultado>, ArrayList<excel.Linha>) 	classCheck	B2	7/15
excel.Comparador	public void classComp(ArrayList<central.BoolResultado>, ArrayList<excel.Linha>) 	classCheck	B3	6/14
excel.Comparador	public void classComp(ArrayList<central.BoolResultado>, ArrayList<excel.Linha>) 	classCheck	B4	6/13
excel.Comparador	public void methodComp(ArrayList<central.BoolResultado>, ArrayList<excel.Linha>) 	methodCheck	B1	7/16
excel.Comparador	public void methodComp(ArrayList<central.BoolResultado>, ArrayList<excel.Linha>) 	methodCheck	B2	7/15
excel.Comparador	public void methodComp(ArrayList<central.BoolResultado>, ArrayList<excel.Linha>) 	methodCheck	B3	6/14
excel.Comparador	public void methodComp(ArrayList<central.BoolResultado>, ArrayList<excel.Linha>) 	methodCheck	B4	6/13
central.Central	public void fuelAllandBoolResults() 	boolResultClass	B2	1/2
central.Central	public void fuelAllandBoolResults() 	boolResultMethod	B2	1/2
gui.EditRulesWindow	private void apply() 	comparators1	B13	4/7
gui.EditRulesWindow	private void apply() 	comparators1	B14	3/6
gui.EditRulesWindow	private void apply() 	limits1	B13	4/7
gui.EditRulesWindow	private void apply() 	limits1	B14	3/6
gui.EditRulesWindow	private void apply() 	metricNames1	B13	4/7
gui.EditRulesWindow	private void apply() 	metricNames1	B14	3/6
excel.Comparador	public void classComp(ArrayList<central.BoolResultado>, ArrayList<excel.Linha>) 	p	B3	2/4
excel.Comparador	public void classComp(ArrayList<central.BoolResultado>, ArrayList<excel.Linha>) 	p	B4	2/3
excel.Comparador	public void classComp(ArrayList<central.BoolResultado>, ArrayList<excel.Linha>) 	p	B5	1/2
excel.Comparador	public void methodComp(ArrayList<central.BoolResultado>, ArrayList<excel.Linha>) 	p	B3	2/4
excel.Comparador	public void methodComp(ArrayList<central.BoolResultado>, ArrayList<excel.Linha>) 	p	B4	2/3
excel.Comparador	public void methodComp(ArrayList<central.BoolResultado>, ArrayList<excel.Linha>) 	p	B5	1/2
gui.EditRulesWindow	private void apply() 	comparators	B3	3/5
gui.EditRulesWindow	private void apply() 	comparators	B4	2/4
gui.EditRulesWindow	private void apply() 	limits	B3	3/5
gui.EditRulesWindow	private void apply() 	limits	B4	2/4
gui.EditRulesWindow	private void apply() 	metricNames	B3	3/5
gui.EditRulesWindow	private void apply() 	metricNames	B4	2/4
metrics.CYCLO_method	private void runMainClass() 	resultados	B2	6/19
metrics.CYCLO_method	private void runMainClass() 	resultados	B4	6/14
metrics.CYCLO_method	private void runMainClass() 	resultados	B8	6/7
metrics.CYCLO_method	private void runMainClass() 	resultados	B9	5/6
metrics.CYCLO_method	private void runMainClass() 	resultados	B13	1/2
